ordernumber,quantityordered,priceeach,orderlinenumber,sales,orderdate,status,qtr_id,month_id,year_id,productline,msrp,productcode,customername,phone,addressline1,city,postalcode,country,territory,contactlastname,contactfirstname,dealsize,year,month,quarter
10100,0.3934426229508197,1.0,0.1176470588235294,0.6239531721398288,2003-01-06,SHIPPED,1,1,2003,VINTAGE CARS,0.7569060773480663,S18_1749,ONLINE DIECAST CREATIONS CO.,6035558647,2304 LONG AIRPORT AVENUE,NASHUA,62005,USA,DESCONOCIDO,YOUNG,VALARIE,MEDIUM,2003,1,1
10100,0.7213114754098361,0.5596280087527352,0.058823529411764705,0.3886111009024119,2003-01-06,SHIPPED,1,1,2003,VINTAGE CARS,0.14917127071823205,S18_2248,ONLINE DIECAST CREATIONS CO.,6035558647,2304 LONG AIRPORT AVENUE,NASHUA,62005,USA,DESCONOCIDO,YOUNG,VALARIE,MEDIUM,2003,1,1
10100,0.26229508196721313,0.8155087527352298,0.1764705882352941,0.18991610676591753,2003-01-06,SHIPPED,1,1,2003,VINTAGE CARS,0.32596685082872934,S18_4409,ONLINE DIECAST CREATIONS CO.,6035558647,2304 LONG AIRPORT AVENUE,NASHUA,62005,USA,DESCONOCIDO,YOUNG,VALARIE,SMALL,2003,1,1
10100,0.7049180327868853,0.10380196936542668,0.0,0.16129150810700646,2003-01-06,SHIPPED,1,1,2003,VINTAGE CARS,0.04419889502762431,S24_3969,ONLINE DIECAST CREATIONS CO.,6035558647,2304 LONG AIRPORT AVENUE,NASHUA,62005,USA,DESCONOCIDO,YOUNG,VALARIE,SMALL,2003,1,1
10101,0.639344262295082,0.05908096280087527,0.1176470588235294,0.12319977013721606,2003-01-09,SHIPPED,1,1,2003,VINTAGE CARS,0.0,S24_1937,"BLAUER SEE AUTO, CO.",+49 69 66 90 2555,LYONERSTR. 34,FRANKFURT,60528,GERMANY,EMEA,KEITEL,ROLAND,SMALL,2003,1,1
10101,0.6557377049180328,0.3676148796498906,0.058823529411764705,0.26605681753639215,2003-01-09,SHIPPED,1,1,2003,VINTAGE CARS,0.06077348066298344,S24_2022,"BLAUER SEE AUTO, CO.",+49 69 66 90 2555,LYONERSTR. 34,FRANKFURT,60528,GERMANY,EMEA,KEITEL,ROLAND,SMALL,2003,1,1
10101,0.3114754098360656,1.0,0.1764705882352941,0.44099843305747577,2003-01-09,SHIPPED,1,1,2003,VINTAGE CARS,0.5193370165745856,S18_2325,"BLAUER SEE AUTO, CO.",+49 69 66 90 2555,LYONERSTR. 34,FRANKFURT,60528,GERMANY,EMEA,KEITEL,ROLAND,MEDIUM,2003,1,1
10101,0.3278688524590164,1.0,0.0,0.4398464463146782,2003-01-09,SHIPPED,1,1,2003,VINTAGE CARS,0.7458563535911602,S18_2795,"BLAUER SEE AUTO, CO.",+49 69 66 90 2555,LYONERSTR. 34,FRANKFURT,60528,GERMANY,EMEA,KEITEL,ROLAND,MEDIUM,2003,1,1
10102,0.5737704918032788,0.3181072210065645,0.0,0.2102990554911479,2003-01-10,SHIPPED,1,1,2003,VINTAGE CARS,0.11049723756906077,S18_1367,VITACHROME INC.,2125551500,2678 KINGSTON RD.,NYC,10022,USA,DESCONOCIDO,FRICK,MICHAEL,SMALL,2003,1,1
10102,0.5409836065573771,1.0,0.058823529411764705,0.5781556852617196,2003-01-10,SHIPPED,1,1,2003,VINTAGE CARS,0.3812154696132597,S18_1342,VITACHROME INC.,2125551500,2678 KINGSTON RD.,NYC,10022,USA,DESCONOCIDO,FRICK,MICHAEL,MEDIUM,2003,1,1
10103,0.4918032786885246,1.0,0.23529411764705882,0.5006291157298979,2003-01-29,SHIPPED,1,1,2003,TRUCKS AND BUSES,0.4861878453038674,S18_4600,BAANE MINI IMPORTS,07-98 9555,ERLING SKAKKES GATE 78,STAVERN,4110,NORWAY,EMEA,BERGULFSEN,JONAS,MEDIUM,2003,1,1
10103,0.47540983606557385,1.0,0.5294117647058824,0.45944091223451355,2003-01-29,SHIPPED,1,1,2003,TRUCKS AND BUSES,0.45856353591160215,S18_1097,BAANE MINI IMPORTS,07-98 9555,ERLING SKAKKES GATE 78,STAVERN,4110,NORWAY,EMEA,BERGULFSEN,JONAS,MEDIUM,2003,1,1
10103,0.26229508196721313,0.3721280087527352,0.058823529411764705,0.09459789047439268,2003-01-29,SHIPPED,1,1,2003,TRUCKS AND BUSES,0.14917127071823205,S18_2432,BAANE MINI IMPORTS,07-98 9555,ERLING SKAKKES GATE 78,STAVERN,4110,NORWAY,EMEA,BERGULFSEN,JONAS,SMALL,2003,1,1
10103,0.5737704918032788,0.2791301969365426,0.47058823529411764,0.1946830867097214,2003-01-29,SHIPPED,1,1,2003,VINTAGE CARS,0.09392265193370164,S18_4668,BAANE MINI IMPORTS,07-98 9555,ERLING SKAKKES GATE 78,STAVERN,4110,NORWAY,EMEA,BERGULFSEN,JONAS,SMALL,2003,1,1
10103,0.4918032786885246,1.0,0.0,0.4274044549278505,2003-01-29,SHIPPED,1,1,2003,TRUCKS AND BUSES,0.5193370165745856,S24_2300,BAANE MINI IMPORTS,07-98 9555,ERLING SKAKKES GATE 78,STAVERN,4110,NORWAY,EMEA,BERGULFSEN,JONAS,MEDIUM,2003,1,1
10103,0.3278688524590164,1.0,0.5882352941176471,0.6578472414795412,2003-01-29,SHIPPED,1,1,2003,CLASSIC CARS,0.9999999999999999,S10_1949,BAANE MINI IMPORTS,07-98 9555,ERLING SKAKKES GATE 78,STAVERN,4110,NORWAY,EMEA,BERGULFSEN,JONAS,MEDIUM,2003,1,1
10103,0.6557377049180328,1.0,0.8823529411764706,0.575951942641217,2003-01-29,SHIPPED,1,1,2003,VINTAGE CARS,0.3646408839779005,S18_3320,BAANE MINI IMPORTS,07-98 9555,ERLING SKAKKES GATE 78,STAVERN,4110,NORWAY,EMEA,BERGULFSEN,JONAS,MEDIUM,2003,1,1
10103,0.47540983606557385,0.41821663019693656,0.7647058823529411,0.20433331440083657,2003-01-29,SHIPPED,1,1,2003,VINTAGE CARS,0.16022099447513816,S18_2957,BAANE MINI IMPORTS,07-98 9555,ERLING SKAKKES GATE 78,STAVERN,4110,NORWAY,EMEA,BERGULFSEN,JONAS,SMALL,2003,1,1
10103,0.3114754098360656,1.0,0.7058823529411764,0.27494929988740735,2003-01-29,SHIPPED,1,1,2003,VINTAGE CARS,0.39226519337016574,S18_3136,BAANE MINI IMPORTS,07-98 9555,ERLING SKAKKES GATE 78,STAVERN,4110,NORWAY,EMEA,BERGULFSEN,JONAS,SMALL,2003,1,1
